Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
X3096.PBK.0014	0	0.007901539573279954	0.0019129773761583891	0	0	0.088235691414161	0	0.02128150901532164	0.011138063105313357	0	0.011057933991239485	0.020709398108203946	0.012899424748800107	0	0.002361515967285662	0.23220600546877057	0	0.004573878634992722	0.5857220625964731	0	0	0	0	0.44544862928823975	0.9188396123023969
X3096.PBK.0015	0.0017753081890817906	0	0.021846079550172842	0	0	0.22662651803068765	0	0.025442840682071415	0.03190473481492485	0	0.04941370742068098	0.007738093092154497	0.025768761866499276	0	0	0.28659156556138915	0	0.009167344598047451	0.3137250461942901	0	0	0	0.032	0.19687481044552874	1.0144912431806838
X3096.PBK.0016	0.007200995402141101	0.004391079675915165	0.008391574915638753	0.001048573661084151	0	0.03284603433999665	0	0.0195114992610407	0	0	0	0.017933160857884507	0.002487605532661113	0	0	0.4752102354364828	0	0.0034944505577326765	0.4226701864443862	0	0	0.004814603915036319	0	0.4839317901199559	0.8803695702466584
X3096.PBK.0019	0	0	0.0025148230719893193	0.026967498357101202	0	0.10909307549546937	0	0.015751799216096856	0.0016941084370793254	0	0	0.04876894263960753	0.004281826863735481	0	0	0.30832741139322284	0.11244462838275092	0.04860816758143364	0.3215477185615135	0	0	0	0.01	0.25663939678991027	0.9898479914450942
X3096.PBK.0020	0	0.001206419708795843	0.0023137857812793095	0.035966592229661636	0	0.18352374614267286	0	0.009660526589627025	0.07649377257749	0	0	0.02251131929632325	0.02727398024553108	0.016817417570863535	0.0022615351181221543	0.14135590481560426	0.12569219009252028	0	0.3549228098315087	0	0	0	0.006	0.31460077050142626	0.9620606654534479
X3096.PBK.0021	0.012359096794183285	0	0	0.03383370192775904	0	0.1639956935308931	0	0.05690795494486561	0.007577828697295224	0	0	0.016284111011746077	0.05066086653854093	0	0.01489843758575953	0.25140400617200304	0.021293679671065883	0	0.3707846231258883	0	0	0	0	0.5760086986327018	0.8221652606575157
X3096.PBK.0022	0.015054617300503814	0	0.004925307010122174	0.015176029184524376	0	0.10624200918843033	0	0.002728621389057046	0	0	0.011117321643078505	0	0.01424213444210722	0	0.005350673281719229	0.36853773304071175	0	0	0.4566255535197455	0	0	0	0	0.5569456353212704	0.8308539049089565
X3096.PBK.0023	0.007799783314662449	0	0	0.037378184579654625	0	0.19271091267056165	0	0.03062903364299826	0.04633626392834068	0	0	0.04916663998683623	0.05159000624053342	0	0.029286361937985998	0.22885136475297588	0.06184993577605859	0	0.26440151316939225	0	0	0	0.005	0.3238357653229741	0.9514644352888262
X3096.PBK.0024	0	0	0.00247907612463542	0.043384237475839534	0	0.19564623758097416	0	0.007806825077871144	0.017832750670468564	0	0	0.062831228741442	0.010124173483875142	0	0.006021562285310937	0.22851500283435924	0.11917409236639462	0	0.30618481335882913	0	0	0	0.009	0.2646001446247521	0.9825076178188068
X3096.PBK.0025	0.02059419839656668	0	0.0012807673840910716	0.025417397749233437	0	0.059894729978986726	0	0.015370236795103234	0	0	0	0.01688091702290723	0.03103323872950038	0	0.010334020390783401	0.3188095041345869	0.03149683723678205	0	0.46860390931171053	0	0	0.0003	0	0.4425107757003536	0.9056766279264349
