Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
X3096.PBK.0016	0	0.0030783290682501506	0.0029591472300366565	0.01247143995501879	0	0.07394707034005982	0	0.006993298300664948	0	0	0	0.013691969710686668	0.01658349473595533	0	0	0.48209577246485474	0	0.00723672624838174	0.3809427519460912	0	0	0	0.002	0.4687442910381257	0.887489455898684
X3096.PBK.0019	0	0.0020046689518696792	0	0.012474400065440532	0	0.13631563945055586	0	0.006812931238771213	0.012242027657639418	0	0	0.04896675487061833	0.002374736249210176	0	0	0.2514940271720608	0.14394405792969658	0.04992005642013925	0.33345069999399823	0	0	0	0.017	0.25248176058415905	0.9915849166391267
X3096.PBK.0020	0.0013872556708113119	0.0034504810581048855	0.0002	0.028634643503392423	0	0.2221335175034106	0	0.00989733598073271	0.05109326807822002	0	0	0.029879714306360602	0.015451250440072653	0.01736405631014332	0.0013409528336875063	0.1314245678374888	0.12690959982934372	0	0.36088162007212987	0	0	0	0.008	0.3060558226504414	0.9673655189378434
X3096.PBK.0021	0.01094416654414719	0	0	0.020601799153461144	0	0.16806461576763562	0	0.02718909603131157	0.009967989538853358	0	0	0.03318103130501538	0.04351973893737234	0	0.016924273640063842	0.2545079978805025	0.015734649879967887	0	0.39936464132166916	0	0	0	0	0.5908406768205184	0.8111810379055726
X3096.PBK.0022	0.021243453402654426	0	0.004907949769853842	0.01201519705576701	0	0.10308868880532414	0	0.005080844824328272	0.001528842481314637	0	0.01140365369101242	0.006559067989067738	0.01386824465584777	0	0.0013812177920366421	0.356250442771577	0	0.002067224796905159	0.4606051719643109	0	0	0	0	0.5607838356722856	0.8282041440279111
X3096.PBK.0023	0.007444809294963811	0	0	0.030079095566977528	0	0.19582838340703274	0	0.02240000748044578	0.028946784179419423	0	0.003644553588548981	0.033519249836753556	0.04053615161293069	0	0.03561155107770264	0.23037365714658323	0.059370122168422204	0	0.31224563464021937	0	0	0	0.004	0.3442142787207331	0.944380401943099
X3096.PBK.0024	0	0	0	0.034779561768415124	0	0.18971982148368277	0	0.004562631254027513	0.0031991374741159565	0	0	0.0598252894515936	0.0010836386122248694	0	0.0015032733781316192	0.2998445170742072	0.12890481829327002	0.0005	0.27607904130336536	0	0	0	0.015	0.2677157117569064	0.980877756611753
X3096.PBK.0025	0.011031105427834304	0	0	0.014321668356250148	0	0.041799280196814274	0	0.00866387423227102	0	0	0	0.010508440338992243	0.013144936140678989	0	0.006300635953944607	0.3626021242695635	0.024825368520948438	0	0.5068025665627026	0	0	0	0.002	0.4442213290388357	0.9117014362859427
X3096.PBK.0026	0	0.002970991734331979	0.002061905179749414	0.014395937477104366	0	0.12604987355658223	0	0	0.019133706817058498	0	0	0.03262281744571803	0.013522989288216323	0	0.006430273079237653	0.20129870196651256	0.11711449816665691	0	0.4643968200133671	0	0	0	0.001	0.4979300929266388	0.868879433219274
X3096.PBK.0027	0	0.027911074355882026	0.007389506817439796	0.022493496504341712	0	0.1933620118516047	0	0.007809991063314078	0.04003548755426228	0	0.06677347720174731	0.0755808468040354	0.08490778872871842	0	0.006831314200023985	0.16586445941569655	0.00554089737700475	0	0.29549964812592894	0	0	0	0.062	0.14733450761670325	1.0359847369766504
X3096.PBK.0028	0	0.003029832845329153	0.006111489673812209	0.06184066176761908	0	0.24946494812030773	0	0.012383493426977518	0.04980126401960024	0	0	0.020510535704982034	0.017488407913766334	0	0.012720936545658382	0.12314868057193533	0.3414740726865559	0	0.08929216230895762	0.007610958951894685	0	0.005122555462603893	0.313	0.041853041419133846	1.0702686690488146
X3096.PBK.0029	0	0.007652231363921696	0.004332959719681986	0.023350036710805162	0	0.12397957944818921	0	0.0002	0.003999204041720337	0	0	0.021997632711086113	0	0	0.0033293854441842027	0.26095903971638407	0.09172132952389558	0	0.458437254522948	0	0	0	0	0.5475930547149694	0.836996967003467
X3096.PBK.0032	0	0	0.010539995455159342	0	0	0.11029795599566064	0	0.010965268946598659	0	0	0.0015767232311131821	0.020321925508587368	0.0028372097905382514	0	0.013767352504352081	0.19253353797695313	0.09210812072398111	0	0.5450519098670562	0	0	0	0.001	0.49457285330026163	0.877406552817905
